"","coef","exp(coef)","se(coef)","z","Pr(>|z|)"
"risk_score",0.67674328900597,1.96745983920285,0.0464997419425283,14.5536998859563,5.53278296232237e-48
"RaceWhite",0.0199656436179401,1.02016629020184,0.269412181048123,0.0741081696464709,0.94092431470103
"Age",2.68747392756107e-08,1.00000002687474,2.24496440432285e-05,0.00119711204435408,0.999044843010394
"SexMale",-0.0293045305648443,0.97112068350144,0.167844621497392,-0.174593205927064,0.861399287472052
