"Variable","HR","Lower95","Upper95","P_value"
"GDPD2",1.30583476196199,1.08943467220529,1.56521952995728,0.00389448474941564
"Age",1.00001199911992,0.999964752835046,1.00005924763708,0.618651456916754
"SexMale",1.20646564661843,0.878138372752045,1.65755124890939,0.246810898165512
"RaceWhite",1.34112532022727,0.790609626949692,2.27497498543505,0.276342328511859
