"SampleID","Sample","B.cells","Macrophages.M1","Macrophages.M2","Monocytes","Neutrophils","NK.cells","T.cells.CD4","T.cells.CD8","Tregs","Dendritic.cells","Other","GDPD2","Group"
"TCGA-35-3615-01A-01R-0946-07",NA,0.0151763767792535,0.0829820773358812,0.0975189255021122,0,0.0452206931401599,0.0166994639938061,0,0.00863797562017953,0.0320694968768789,0,0.701694990751729,4.1734686614541,"Low"
"TCGA-35-4122-01A-01R-1107-07",NA,0.0194283452016241,0.148067568523155,0.0893690259669287,0,0.0411740105726009,0.0123228155069838,0,0.04691896605474,0.0354433193401742,0,0.607275948833793,4.32554780590835,"Low"
"TCGA-35-4123-01A-01R-1107-07",NA,0.00783719454136996,0.130301765816029,0.0669897556811065,0,0.023830534283472,0.000204971604901438,0,0.197194807523506,0.0315819584304039,0,0.542059012119211,3.97982504488276,"Low"
"TCGA-35-5375-01A-01R-1628-07",NA,0.0189578259974425,0.0355809618918079,0.0183838930745262,0,0.0444929497990426,0.0072392026919142,0,0.028671378064781,0.0262483107648289,0.0155787512304829,0.804846726485174,3.5833246741021,"Low"
"TCGA-38-4625-01A-01R-1206-07",NA,0.0309099030408724,0.0977365485038673,0.0434949422224556,0,0.071947076315817,0.0242585149104049,0,0.0155126243029058,0.0252674020781616,0,0.690872988625515,4.30041347560041,"Low"
"TCGA-38-4626-01A-01R-1206-07",NA,0.0057266967491498,0.16840455384911,0.16236181372136,0,0.22498115470797,0.0122916713759368,0,0.00642919680402236,0.0374808665435122,0,0.382324046248939,4.61021586628895,"High"
"TCGA-38-4627-01A-01R-1206-07",NA,0.021728108855089,0.0872860942029481,0.0625333302191567,0,0.0992955974844238,0.0187074755471852,0,0.00343285172185048,0.0343537618698727,0.0160161178372022,0.656646662262272,5.08427394580737,"High"
"TCGA-38-4628-01A-01R-1206-07",NA,0.00348470073186178,0.153308202827375,0.0419620857630726,0,0.104708154585736,0.015778238444375,0,0.0224677584420616,0.0220315089360586,0,0.636259350269459,3.5833246741021,"Low"
"TCGA-38-4629-01A-02R-1206-07",NA,0.0151746555436365,0.175992848324305,0.0653981940140801,0,0.0516333053809048,0.0130646527796329,0,0.036889437125399,0.0359952916356103,0,0.605851615196431,3.92979594173457,"Low"
"TCGA-38-4630-01A-01R-1206-07",NA,0.0190158047609448,0.0102247512859213,0.086036870143395,0,0.0344593450371487,0.0251215604613549,0.0921418473072343,0.00528926898851734,0.0210748099165481,0.0330235719348248,0.673612170164111,4.9879956624406,"High"
"TCGA-38-4631-01A-01R-1755-07",NA,0.0136063074368422,0.0452106976070538,0.0139225956191666,0,0.0850187445562325,0.00762092687680107,0.00843864577811951,0.0089708788864496,0.0200140931223572,0.00163139157675209,0.795565718540225,5.09357881031766,"High"
"TCGA-38-4632-01A-01R-1755-07",NA,0.0108195485141796,0.129441768274893,0.0582606463126285,0,0.0847928993212631,0.0208262610391771,0,0.0214828792294167,0.0484931906814169,0,0.625882806627025,4.77911366170435,"High"
"TCGA-38-6178-01A-11R-1755-07",NA,0.0252104433722603,0.105958221425129,0.0750441072002936,0,0.183137607543098,0.0373591818780211,0,0.000236365016110104,0.0330087241989243,0,0.540045349366163,5.0311069702124,"High"
"TCGA-38-7271-01A-11R-2039-07",NA,0.144193948353766,0.0846735522302105,0.0863507693626328,0,0.0851258099254257,0.00999328546524825,0.189648833219539,0.0642286449608718,0.0698346901533797,0,0.265950466328927,4.34279394041401,"Low"
"TCGA-38-A44F-01A-11R-A24H-07",NA,0.0627772180855684,0.0571534687011863,0.0691780389316054,0,0.0693109931950079,0.0280408323842258,0,0.0109398109952026,0.0651313356325691,0.0163400557504807,0.621128246324154,6.40981252032263,"High"
"TCGA-44-2655-01A-01R-0946-07",NA,0.0268574432815623,0.0412071384602653,0.0985843938211735,0,0.0847330006212487,0.0133092232970225,0,0.00552826170198265,0.0405818900463457,0,0.689198648770399,4.32412700959741,"Low"
"TCGA-44-2656-01A-02R-A278-07",NA,0.0512367525657106,0.120560357548078,0.0735255108651254,0,0.0722644794945129,0.0151710321465552,0,0.0577722091028317,0.0528697085696406,0.00755362036739445,0.549046329340151,3.5833246741021,"Low"
"TCGA-44-2657-01A-01R-1107-07",NA,0.0897877966672957,0.0814564985764883,0.0894901914639215,0,0.0917195793868398,0.0241079065211824,0,0.0675935512222546,0.0684097343765033,0,0.487434741785514,4.60272127114905,"High"
"TCGA-44-2659-01A-01R-0946-07",NA,0.0237432858036691,0.0885375550388045,0.0558625525545763,0,0.0906020910126612,0.024420352013993,0,0.0353122386152329,0.0456385398826413,0,0.635883385078422,4.6139952114046,"High"
"TCGA-44-2661-01A-01R-1107-07",NA,0.0350270036849586,0.0936743677606605,0.10855240638137,0,0.136609326130587,0.0141465193747893,0,0.0439592809717621,0.0773655150289271,0,0.490665580666945,4.25665997883674,"Low"
"TCGA-44-2662-01A-01R-A278-07",NA,0.0205346764314222,0.180717636125744,0.0182211834794387,0,0.158701739602039,0.0175313198735251,0,0,0.0294379210067527,0,0.574855523481079,4.17919216062906,"Low"
"TCGA-44-2665-01B-06R-A277-07",NA,0.071602989950117,0.101731614593987,0.0517610483536442,0,0.0646687494422383,0.0363946934464032,0,0,0.0876471860039029,0.0332534865641901,0.552940231645517,4.48163738627219,"Low"
"TCGA-44-2666-01A-01R-A278-07",NA,0.0315450608980611,0.0464118212885847,0.0627363453521815,0,0.0827615658780367,0.0239833950596475,0,0.00225486454879519,0.0317450896181152,0.0133270262591221,0.705234831097456,4.60073218215212,"High"
"TCGA-44-2668-01A-01R-A278-07",NA,0.0131860382162832,0.243315509757149,0.0545064166004027,0,0.222022553900387,0.0149184872129422,0,0.0191585486584759,0.0474905201656783,0,0.385401925488681,4.32600887927435,"Low"
"TCGA-44-3396-01A-01R-1206-07",NA,0.0310749006672184,0.221489483078571,0.0809337540610411,0,0.123391259739737,0.0165352154133242,0,0.0331653352289615,0.067298210914172,0,0.426111840896975,4.4867583296483,"Low"
"TCGA-44-3398-01A-01R-1107-07",NA,0.0186884600375184,0.0821686964541975,0.11389457771701,0,0.0917927708898291,0.021476505093832,0,0.00805631219529559,0.0626625580961408,0,0.601260119516177,4.46824350469696,"Low"
