"Gene","HR","Pvalue","KM_Pvalue"
"AC005586.1",1.35764501701467,0.053407561239489,0.0525045909207379
"AC012676.3",0.639662103351308,0.00537658228666936,0.00498969785594594
"AC068338.3",0.619832492951518,0.00269742558364227,0.00245158497388642
"AL353746.1",1.74645747362606,0.000533596439328,0.000452512228615864
"AP000346.1",0.654887669951789,0.00909426931514072,0.00858811646696267
"AP000812.1",0.660960764529413,0.00920100750133323,0.00870065437190692
"ENOX1",1.21248020028617,0.224341872902898,0.223576382594755
"GDPD2",1.38466996021478,0.0403621063617485,0.0394470223515915
