"Variable","HR","Lower95","Upper95","P_value"
"GDPD2",1.30924721320994,1.08954242293879,1.57325518420342,0.00404061431479843
"Age",1.00001901397161,0.99997177865619,1.00006625151827,0.430142819348819
"SexMale",1.05816734710941,0.762936640371308,1.46764236404168,0.734793640689751
"RaceWhite",1.21491833261716,0.704666758994424,2.09464478931229,0.483623944243077
"StageStage_II",2.30134071817778,1.54384617967347,3.43050309731193,4.27548240722673e-05
"StageStage_III",2.92532435522053,1.93924013810514,4.41282253553605,3.09672820884283e-07
"StageStage_IV",3.34713896070059,1.79096920113948,6.25546168806913,0.000152823319794819
