"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001539","cilium or flagellum-dependent cell motility","36/806","237/18842",0.151898734177215,3.55096271633634,8.35435314744998,3.48709125019275e-11,1.07605824162198e-08,1.07605824162198e-08,"TAC3/TMEM232/GAS2L2/SPAG8/DNAI1/CFAP161/TAC1/DNAH6/CFAP58/TEKT4/TTLL6/ROPN1L/CFAP65/TEKT1/CFAP47/LRRC46/PACRG/CFAP206/DNAAF6/IQCF1/RSPH1/RSPH14/DNAH12/CFAP53/FSIP2/CFAP52/CFAP46/DNAH10/DRC7/DNAI3/DNAH3/HOATZ/CFAP43/CFAP77/DNAH9/RSPH4A",36
"GO:0060285","cilium-dependent cell motility","36/806","237/18842",0.151898734177215,3.55096271633634,8.35435314744998,3.48709125019275e-11,1.07605824162198e-08,1.07605824162198e-08,"TAC3/TMEM232/GAS2L2/SPAG8/DNAI1/CFAP161/TAC1/DNAH6/CFAP58/TEKT4/TTLL6/ROPN1L/CFAP65/TEKT1/CFAP47/LRRC46/PACRG/CFAP206/DNAAF6/IQCF1/RSPH1/RSPH14/DNAH12/CFAP53/FSIP2/CFAP52/CFAP46/DNAH10/DRC7/DNAI3/DNAH3/HOATZ/CFAP43/CFAP77/DNAH9/RSPH4A",36
"GO:0001578","microtubule bundle formation","25/806","122/18842",0.204918032786885,4.79040393768051,8.8789553094463,5.37420448432932e-11,1.53082147734396e-08,1.53082147734396e-08,"GAS2L2/DNAI1/CFAP100/CFAP58/TTLL6/CFAP65/CFAP73/CFAP47/CFAP74/CFAP206/DNAAF6/RSPH1/DNAH12/DNAI2/DCX/FSIP2/CFAP46/DRC7/DNAI3/DNAH3/DNAAF1/HOATZ/CFAP43/HYDIN/RSPH4A",25
"GO:0042445","hormone metabolic process","34/806","219/18842",0.155251141552511,3.62933251753402,8.27355447272327,6.69032123535829e-11,1.76958996675227e-08,1.76958996675227e-08,"SRD5A2/CYP3A7/CYP2C18/HSD17B2/GAL/CYP3A4/SULT1E1/SULT1B1/CYP1A1/AKR1C1/ERO1B/ADH1A/DUOX2/CYP2C9/DUOXA2/BMP6/PCSK1/UGT1A8/UGT2B7/UGT1A10/RDH5/UGT2B15/DIO3/CYP3A5/ADH6/AKR1C3/UGT2B4/ADH4/KLK6/CYP2W1/CYP26C1/CHST9/PCSK2/CYP21A2",34
"GO:0007586","digestion","24/806","122/18842",0.19672131147541,4.59878778017329,8.4300977926626,3.17623585997e-10,7.84106759297927e-08,7.84106759297927e-08,"ABCG8/PRAP1/CLPSL2/PRSS1/AKR1C1/CHRM3/NEUROD1/NPPC/GKN1/IL17A/DAO/CHIA/HEPH/TFF1/SOX9/SLC5A1/NPSR1/TFF2/NR1I2/PGC/PRSS2/NPC1L1/PRSS3/MUC6",24
"GO:0019730","antimicrobial humoral response","29/806","189/18842",0.153439153439153,3.58697336116691,7.55610346463849,2.23670608727647e-09,5.17657665074049e-07,5.17657665074049e-07,"RPL39/WFDC5/FGB/KLK5/TAC1/RNASE7/PI3/IGHE/IL17A/DAO/F2/DEFB4A/SPINK5/NPPB/CALCA/DEFA5/KNG1/BPIFA1/NTS/S100A7/ELANE/KLK7/PGC/PRSS2/PRSS3/WFDC12/CXCL14/REG3A/SPRR2A",29
"GO:0098659","inorganic cation import across plasma membrane","24/806","141/18842",0.170212765957447,3.9790929729159,7.50603492254108,6.70516660778053e-09,1.37940177492285e-06,1.37940177492285e-06,"TRPV6/FXYD1/SCNN1B/SCNN1G/SLC9A2/HCN1/CNGA3/FXYD4/CACNA1B/KCNJ8/TRPM1/PCSK9/SLC39A2/SLC5A1/KCNK9/CACNA1S/ABCC8/SLC9A3/TRPV4/ATP12A/SLC9A4/KCNJ18/SLC9C2/KCNJ16",24
"GO:0099587","inorganic ion import across plasma membrane","24/806","141/18842",0.170212765957447,3.9790929729159,7.50603492254108,6.70516660778053e-09,1.37940177492285e-06,1.37940177492285e-06,"TRPV6/FXYD1/SCNN1B/SCNN1G/SLC9A2/HCN1/CNGA3/FXYD4/CACNA1B/KCNJ8/TRPM1/PCSK9/SLC39A2/SLC5A1/KCNK9/CACNA1S/ABCC8/SLC9A3/TRPV4/ATP12A/SLC9A4/KCNJ18/SLC9C2/KCNJ16",24
"GO:0120254","olefinic compound metabolic process","26/806","165/18842",0.157575757575758,3.68367546432063,7.31927038101945,8.53129104354576e-09,1.66270372285526e-06,1.66270372285526e-06,"SRD5A2/CYP3A7/CYP2C18/CYP3A4/CYP1A1/AKR1C1/ALOX15B/ALOX15/CYP2C19/ADH1A/GPRC6A/CYP2C9/CYP4F2/BMP6/RDH5/CYP4F8/CYP4F12/CYP4F3/EPHX1/CYP2A13/CYP2F1/CYP3A5/ADH6/AKR1C3/ADH4/CYP21A2",26
"GO:0045109","intermediate filament organization","17/806","74/18842",0.22972972972973,5.37043122526994,7.96307003324095,1.05516564486227e-08,1.92748037896409e-06,1.92748037896409e-06,"KRT6B/KRT13/KRT20/KRT9/KRT79/KRT23/KRT16/KRT81/KRT31/KRT74/KRT40/KRT72/NEFL/KRT6C/KRT14/KRT77/KRT5",17
